Item Purchased,Category,Season,Review Rating,Previous Purchases,Frequency Ranking,cluster
Shirt,Clothing,Fall,0.28000000000000025,49,0.4,1
Shoes,Footwear,Fall,0.6399999999999999,26,0.8000000000000002,0
Jacket,Outerwear,Fall,0.15999999999999992,16,1.0,2
Handbag,Accessories,Fall,0.7600000000000002,41,0.0,1
Dress,Clothing,Fall,0.6399999999999999,14,1.0,2
Scarf,Accessories,Fall,0.4800000000000002,19,0.8000000000000002,0
Socks,Clothing,Fall,0.15999999999999992,25,0.20000000000000007,0
Boots,Footwear,Fall,0.9199999999999999,18,0.8000000000000002,0
Belt,Accessories,Fall,0.6800000000000002,32,0.0,0
Shoes,Footwear,Fall,0.4800000000000002,44,0.8000000000000002,1
T-shirt,Clothing,Fall,0.40000000000000013,35,0.6,1
Jacket,Outerwear,Fall,0.44000000000000017,15,0.4,2
Sweater,Clothing,Fall,0.8,46,1.0,1
Sneakers,Footwear,Fall,0.52,48,0.6,1
Sunglasses,Accessories,Fall,0.08000000000000007,31,0.8000000000000002,0
Backpack,Accessories,Fall,0.44000000000000017,4,0.20000000000000007,2
Sweater,Clothing,Fall,0.9199999999999999,27,0.8000000000000002,0
Coat,Outerwear,Fall,0.72,44,0.20000000000000007,1
Sweater,Clothing,Fall,0.2400000000000002,46,1.0,1
Scarf,Accessories,Fall,0.4800000000000002,13,0.8000000000000002,2
Backpack,Accessories,Fall,0.8800000000000001,42,1.0,1
Hat,Accessories,Fall,0.9600000000000002,25,0.6,0
Sandals,Footwear,Fall,0.6399999999999999,12,0.4,2
Coat,Outerwear,Fall,0.52,30,0.20000000000000007,0
Shirt,Clothing,Fall,0.56,50,1.0,1
Gloves,Accessories,Fall,0.9600000000000002,45,1.0,1
Jacket,Outerwear,Fall,0.2400000000000002,33,0.8000000000000002,0
Coat,Outerwear,Fall,0.08000000000000007,25,0.4,0
Shoes,Footwear,Fall,0.28000000000000025,25,0.6,0
Jewelry,Accessories,Fall,0.8,44,0.4,1
Skirt,Clothing,Fall,0.6000000000000001,21,0.8000000000000002,0
Gloves,Accessories,Fall,0.040000000000000036,47,0.20000000000000007,1
Boots,Footwear,Fall,0.9600000000000002,17,0.0,0
Sunglasses,Accessories,Fall,0.8,3,0.20000000000000007,2
Dress,Clothing,Fall,0.44000000000000017,21,0.4,0
Shorts,Clothing,Fall,0.6000000000000001,40,0.20000000000000007,1
Hat,Accessories,Fall,0.20000000000000018,1,0.8000000000000002,2
Shirt,Clothing,Fall,0.6399999999999999,50,0.6,1
Gloves,Accessories,Fall,0.52,39,0.0,1
Backpack,Accessories,Fall,0.20000000000000018,29,0.8000000000000002,0
Sneakers,Footwear,Fall,0.6000000000000001,30,0.6,0
Gloves,Accessories,Fall,0.6000000000000001,14,0.0,2
Shirt,Clothing,Fall,0.040000000000000036,46,0.8000000000000002,1
Hat,Accessories,Fall,0.3600000000000001,30,0.20000000000000007,0
Coat,Outerwear,Fall,0.11999999999999988,2,0.20000000000000007,2
Hoodie,Clothing,Fall,0.4800000000000002,47,0.6,1
Skirt,Clothing,Fall,0.72,21,0.4,0
Boots,Footwear,Fall,0.9600000000000002,9,0.8000000000000002,2
Sandals,Footwear,Fall,0.32000000000000006,12,0.8000000000000002,2
Blouse,Clothing,Fall,0.7600000000000002,4,1.0,2
Coat,Outerwear,Fall,0.20000000000000018,48,0.4,1
Hat,Accessories,Fall,0.56,29,0.0,0
Belt,Accessories,Fall,0.20000000000000018,29,0.20000000000000007,0
Jacket,Outerwear,Fall,0.72,34,0.6,1
Scarf,Accessories,Fall,0.28000000000000025,41,0.6,1
Blouse,Clothing,Fall,0.72,15,0.20000000000000007,2
Scarf,Accessories,Fall,0.28000000000000025,18,1.0,0
Sneakers,Footwear,Fall,0.6000000000000001,35,0.8000000000000002,1
Jacket,Outerwear,Fall,0.20000000000000018,6,0.8000000000000002,2
Skirt,Clothing,Fall,0.6800000000000002,45,0.8000000000000002,1
Handbag,Accessories,Fall,0.6800000000000002,7,0.20000000000000007,2
Handbag,Accessories,Fall,0.7600000000000002,11,0.0,2
Scarf,Accessories,Fall,0.6399999999999999,43,0.20000000000000007,1
Sweater,Clothing,Fall,0.8,27,0.0,0
Skirt,Clothing,Fall,0.6800000000000002,5,0.20000000000000007,2
Handbag,Accessories,Fall,0.6800000000000002,18,0.20000000000000007,0
Skirt,Clothing,Fall,0.6000000000000001,9,1.0,2
Jeans,Clothing,Fall,0.15999999999999992,13,0.20000000000000007,2
Pants,Clothing,Fall,0.56,15,0.20000000000000007,2
Jeans,Clothing,Fall,0.8399999999999999,16,0.20000000000000007,2
Skirt,Clothing,Fall,0.40000000000000013,11,0.8000000000000002,2
Sandals,Footwear,Fall,0.6800000000000002,21,0.8000000000000002,0
Sweater,Clothing,Fall,0.28000000000000025,16,0.20000000000000007,2
Coat,Outerwear,Fall,0.8,26,0.6,0
Dress,Clothing,Fall,0.32000000000000006,40,0.6,1
Sweater,Clothing,Fall,0.40000000000000013,26,0.20000000000000007,0
Handbag,Accessories,Fall,0.4800000000000002,45,0.8000000000000002,1
Handbag,Accessories,Fall,0.32000000000000006,46,0.6,1
Sweater,Clothing,Fall,0.72,42,0.0,1
Scarf,Accessories,Fall,0.28000000000000025,48,1.0,1
Coat,Outerwear,Fall,0.11999999999999988,9,1.0,2
Shirt,Clothing,Fall,0.32000000000000006,46,0.4,1
Blouse,Clothing,Fall,0.040000000000000036,30,0.20000000000000007,0
Hat,Accessories,Fall,0.7600000000000002,16,0.20000000000000007,2
Sandals,Footwear,Fall,0.56,43,0.8000000000000002,1
Blouse,Clothing,Fall,0.08000000000000007,17,0.8000000000000002,0
Jeans,Clothing,Fall,0.9600000000000002,12,0.0,2
Sneakers,Footwear,Fall,0.6399999999999999,35,0.6,1
Jewelry,Accessories,Fall,0.20000000000000018,42,1.0,1
Jewelry,Accessories,Fall,0.6399999999999999,1,0.0,2
Sneakers,Footwear,Fall,0.3600000000000001,1,0.8000000000000002,2
Shoes,Footwear,Fall,0.9600000000000002,2,0.8000000000000002,2
T-shirt,Clothing,Fall,0.8800000000000001,46,0.8000000000000002,1
Backpack,Accessories,Fall,0.20000000000000018,19,1.0,0
Sunglasses,Accessories,Fall,0.15999999999999992,6,0.4,2
Sweater,Clothing,Fall,0.8,6,0.20000000000000007,2
Shorts,Clothing,Fall,0.08000000000000007,12,0.8000000000000002,2
Shoes,Footwear,Fall,0.6800000000000002,6,0.8000000000000002,2
Dress,Clothing,Fall,0.56,24,0.20000000000000007,0
Belt,Accessories,Fall,0.20000000000000018,26,0.20000000000000007,0
Scarf,Accessories,Fall,0.40000000000000013,10,0.6,2
T-shirt,Clothing,Fall,0.9199999999999999,21,0.4,0
Backpack,Accessories,Fall,0.20000000000000018,26,0.6,0
Sandals,Footwear,Fall,0.8,48,0.4,1
Pants,Clothing,Fall,0.2400000000000002,32,0.20000000000000007,0
Shirt,Clothing,Fall,0.32000000000000006,26,1.0,0
Skirt,Clothing,Fall,0.28000000000000025,23,0.8000000000000002,0
Sunglasses,Accessories,Fall,0.40000000000000013,31,0.4,0
Boots,Footwear,Fall,0.9600000000000002,18,0.20000000000000007,0
Blouse,Clothing,Fall,0.44000000000000017,50,0.8000000000000002,1
Blouse,Clothing,Fall,0.6000000000000001,33,0.4,0
Jacket,Outerwear,Fall,0.32000000000000006,48,0.0,1
Backpack,Accessories,Fall,1.0,16,0.4,2
Shorts,Clothing,Fall,0.6399999999999999,30,0.8000000000000002,0
Hat,Accessories,Fall,0.28000000000000025,10,0.8000000000000002,2
Hoodie,Clothing,Fall,0.56,12,1.0,2
Sandals,Footwear,Fall,0.11999999999999988,37,0.0,1
Shirt,Clothing,Fall,0.56,11,1.0,2
Handbag,Accessories,Fall,0.32000000000000006,6,0.8000000000000002,2
Dress,Clothing,Fall,0.32000000000000006,31,0.8000000000000002,0
T-shirt,Clothing,Fall,0.9199999999999999,35,0.0,1
Pants,Clothing,Fall,0.11999999999999988,8,0.8000000000000002,2
Scarf,Accessories,Fall,0.08000000000000007,48,0.20000000000000007,1
Shirt,Clothing,Fall,0.56,22,0.20000000000000007,0
Shirt,Clothing,Fall,0.2400000000000002,8,0.20000000000000007,2
Scarf,Accessories,Fall,0.44000000000000017,45,0.20000000000000007,1
Hoodie,Clothing,Fall,0.11999999999999988,19,0.8000000000000002,0
Boots,Footwear,Fall,0.08000000000000007,44,0.0,1
Blouse,Clothing,Fall,0.15999999999999992,16,0.0,2
Shorts,Clothing,Fall,0.4800000000000002,6,0.6,2
Sandals,Footwear,Fall,0.3600000000000001,42,1.0,1
Gloves,Accessories,Fall,0.8,4,0.4,2
Jacket,Outerwear,Fall,0.7600000000000002,16,0.0,2
Jacket,Outerwear,Fall,0.11999999999999988,45,0.8000000000000002,1
Backpack,Accessories,Fall,0.44000000000000017,37,0.8000000000000002,1
Coat,Outerwear,Fall,0.2400000000000002,27,0.8000000000000002,0
T-shirt,Clothing,Fall,0.40000000000000013,18,1.0,0
Gloves,Accessories,Fall,0.9199999999999999,37,0.20000000000000007,1
Sneakers,Footwear,Fall,0.28000000000000025,43,0.0,1
Scarf,Accessories,Fall,0.15999999999999992,22,0.6,0
Jewelry,Accessories,Fall,0.32000000000000006,12,0.20000000000000007,2
Jacket,Outerwear,Fall,0.040000000000000036,25,0.8000000000000002,0
Shoes,Footwear,Fall,0.7600000000000002,16,0.4,2
Backpack,Accessories,Fall,0.6800000000000002,10,1.0,2
Skirt,Clothing,Fall,0.7600000000000002,46,0.0,1
T-shirt,Clothing,Fall,0.6399999999999999,20,0.20000000000000007,0
Sneakers,Footwear,Fall,0.9199999999999999,20,0.8000000000000002,0
Jeans,Clothing,Fall,0.9199999999999999,38,0.6,1
Skirt,Clothing,Fall,0.4800000000000002,41,0.20000000000000007,1
Sandals,Footwear,Fall,0.8399999999999999,22,0.8000000000000002,0
Socks,Clothing,Fall,0.11999999999999988,5,0.0,2
Socks,Clothing,Fall,0.6800000000000002,48,0.0,1
Boots,Footwear,Fall,0.20000000000000018,9,0.4,2
Shirt,Clothing,Fall,0.3600000000000001,40,0.20000000000000007,1
Belt,Accessories,Fall,0.8399999999999999,30,0.8000000000000002,0
Backpack,Accessories,Fall,0.6800000000000002,6,0.8000000000000002,2
Boots,Footwear,Fall,0.28000000000000025,42,0.0,1
Sunglasses,Accessories,Fall,0.7600000000000002,11,0.0,2
Hoodie,Clothing,Fall,0.11999999999999988,44,0.6,1
Backpack,Accessories,Fall,0.32000000000000006,21,0.0,0
