Item Purchased,Category,Season,Review Rating,Previous Purchases,Frequency Ranking,cluster
Jeans,Clothing,Spring,0.2400000000000002,23,1.0,0
Sandals,Footwear,Spring,0.40000000000000013,49,1.0,2
Blouse,Clothing,Spring,0.08000000000000007,31,0.20000000000000007,0
Handbag,Accessories,Spring,0.9199999999999999,4,0.4,1
Dress,Clothing,Spring,0.8800000000000001,31,1.0,0
Sunglasses,Accessories,Spring,0.6399999999999999,44,0.8000000000000002,2
Jewelry,Accessories,Spring,0.44000000000000017,13,0.20000000000000007,1
T-shirt,Clothing,Spring,0.8399999999999999,38,0.4,2
Scarf,Accessories,Spring,0.8,40,0.20000000000000007,2
Coat,Outerwear,Spring,0.6399999999999999,15,0.20000000000000007,1
Hoodie,Clothing,Spring,0.8399999999999999,34,0.8000000000000002,0
Blouse,Clothing,Spring,0.4800000000000002,39,0.8000000000000002,2
Belt,Accessories,Spring,0.8399999999999999,4,1.0,1
Sneakers,Footwear,Spring,0.52,31,0.8000000000000002,0
Backpack,Accessories,Spring,0.9199999999999999,44,0.0,2
Pants,Clothing,Spring,0.08000000000000007,43,0.8000000000000002,2
Gloves,Accessories,Spring,0.8,3,0.6,1
Skirt,Clothing,Spring,0.8800000000000001,50,0.8000000000000002,2
Pants,Clothing,Spring,0.6000000000000001,21,0.0,0
Coat,Outerwear,Spring,0.7600000000000002,42,0.0,2
Hoodie,Clothing,Spring,0.4800000000000002,47,0.8000000000000002,2
Skirt,Clothing,Spring,0.8399999999999999,28,1.0,0
Gloves,Accessories,Spring,0.44000000000000017,43,0.0,2
Jeans,Clothing,Spring,0.040000000000000036,20,0.20000000000000007,0
Coat,Outerwear,Spring,0.8399999999999999,50,0.8000000000000002,2
Sunglasses,Accessories,Spring,0.7600000000000002,1,0.6,1
Socks,Clothing,Spring,0.3600000000000001,32,0.8000000000000002,0
T-shirt,Clothing,Spring,0.040000000000000036,43,0.8000000000000002,2
Gloves,Accessories,Spring,0.72,28,0.8000000000000002,0
Skirt,Clothing,Spring,0.52,48,0.0,2
Shoes,Footwear,Spring,0.3600000000000001,12,0.20000000000000007,1
Backpack,Accessories,Spring,0.9199999999999999,44,0.8000000000000002,2
Sweater,Clothing,Spring,0.2400000000000002,50,0.20000000000000007,2
Shorts,Clothing,Spring,0.56,48,0.0,2
Scarf,Accessories,Spring,0.8800000000000001,21,0.8000000000000002,0
Sneakers,Footwear,Spring,0.8800000000000001,38,1.0,2
Socks,Clothing,Spring,0.72,21,0.4,0
Handbag,Accessories,Spring,0.040000000000000036,5,0.8000000000000002,1
Backpack,Accessories,Spring,0.08000000000000007,30,0.4,0
Skirt,Clothing,Spring,0.44000000000000017,26,1.0,0
Sneakers,Footwear,Spring,0.20000000000000018,40,0.8000000000000002,2
Shoes,Footwear,Spring,0.32000000000000006,1,0.8000000000000002,1
Hoodie,Clothing,Spring,0.2400000000000002,5,0.8000000000000002,1
Backpack,Accessories,Spring,0.2400000000000002,15,0.4,1
Hat,Accessories,Spring,0.08000000000000007,33,0.20000000000000007,0
Skirt,Clothing,Spring,0.6399999999999999,17,0.6,1
Scarf,Accessories,Spring,0.11999999999999988,24,0.8000000000000002,0
Shorts,Clothing,Spring,0.4800000000000002,21,1.0,0
T-shirt,Clothing,Spring,0.15999999999999992,8,0.4,1
Belt,Accessories,Spring,0.20000000000000018,12,0.8000000000000002,1
Sneakers,Footwear,Spring,0.4800000000000002,48,0.8000000000000002,2
Gloves,Accessories,Spring,0.8,14,0.8000000000000002,1
Pants,Clothing,Spring,0.9199999999999999,34,0.20000000000000007,0
Jacket,Outerwear,Spring,0.28000000000000025,11,0.20000000000000007,1
Shoes,Footwear,Spring,0.32000000000000006,5,0.6,1
