Item Purchased,Category,Season,Review Rating,Previous Purchases,Frequency Ranking,cluster
Sneakers,Footwear,Summer,0.15999999999999992,14,1.0,1
Coat,Outerwear,Summer,0.040000000000000036,8,0.20000000000000007,1
Sweater,Clothing,Summer,0.8399999999999999,17,1.0,1
Pants,Clothing,Summer,0.32000000000000006,46,0.8000000000000002,0
Pants,Clothing,Summer,0.28000000000000025,32,0.20000000000000007,2
Hoodie,Clothing,Summer,0.44000000000000017,14,0.20000000000000007,1
Shorts,Clothing,Summer,1.0,7,0.0,1
Jacket,Outerwear,Summer,0.9600000000000002,37,0.20000000000000007,0
Pants,Clothing,Summer,0.32000000000000006,45,0.4,0
Blouse,Clothing,Summer,0.6000000000000001,48,0.8000000000000002,0
Jeans,Clothing,Summer,0.11999999999999988,10,1.0,1
Pants,Clothing,Summer,0.6800000000000002,18,0.6,2
Hat,Accessories,Summer,0.8399999999999999,45,1.0,0
Shirt,Clothing,Summer,0.15999999999999992,45,0.4,0
Shirt,Clothing,Summer,0.08000000000000007,38,0.6,0
T-shirt,Clothing,Summer,0.040000000000000036,26,1.0,2
Coat,Outerwear,Summer,0.6800000000000002,35,0.8000000000000002,0
Backpack,Accessories,Summer,0.8800000000000001,46,1.0,0
Coat,Outerwear,Summer,0.7600000000000002,17,0.8000000000000002,1
Hoodie,Clothing,Summer,0.6800000000000002,29,0.6,2
Sweater,Clothing,Summer,0.6000000000000001,17,1.0,1
Handbag,Accessories,Summer,0.56,21,0.0,2
Belt,Accessories,Summer,0.7600000000000002,5,1.0,1
Dress,Clothing,Summer,0.15999999999999992,34,0.20000000000000007,2
Scarf,Accessories,Summer,0.08000000000000007,21,0.20000000000000007,2
Hat,Accessories,Summer,0.6800000000000002,32,0.6,2
Dress,Clothing,Summer,0.32000000000000006,36,0.8000000000000002,0
Sandals,Footwear,Summer,0.32000000000000006,24,0.0,2
Shoes,Footwear,Summer,0.040000000000000036,36,0.0,0
Dress,Clothing,Summer,0.6399999999999999,34,1.0,2
Hat,Accessories,Summer,0.15999999999999992,29,0.6,2
Hoodie,Clothing,Summer,0.4800000000000002,33,0.4,2
Jacket,Outerwear,Summer,0.4800000000000002,31,0.6,2
Backpack,Accessories,Summer,0.6000000000000001,26,0.8000000000000002,2
Belt,Accessories,Summer,1.0,9,0.20000000000000007,1
Coat,Outerwear,Summer,0.4800000000000002,9,1.0,1
Sandals,Footwear,Summer,0.8399999999999999,29,0.8000000000000002,2
Hat,Accessories,Summer,0.6000000000000001,32,0.20000000000000007,2
Dress,Clothing,Summer,0.6800000000000002,49,0.8000000000000002,0
Skirt,Clothing,Summer,0.56,46,1.0,0
Shoes,Footwear,Summer,0.40000000000000013,31,0.8000000000000002,2
Pants,Clothing,Summer,0.28000000000000025,14,0.6,1
