Age,Gender,Item Purchased,Category,Season,Review Rating,cluster
55,Male,Blouse,Clothing,Winter,3.1,3
19,Male,Sweater,Clothing,Winter,3.1,1
50,Male,Jeans,Clothing,Spring,3.1,3
21,Male,Sandals,Footwear,Spring,3.5,1
45,Male,Blouse,Clothing,Spring,2.7,3
46,Male,Sneakers,Footwear,Summer,2.9,3
63,Male,Shirt,Clothing,Fall,3.2,0
27,Male,Shorts,Clothing,Winter,3.2,1
26,Male,Coat,Outerwear,Summer,2.6,1
57,Male,Handbag,Accessories,Spring,4.8,3
53,Male,Shoes,Footwear,Fall,4.1,3
30,Male,Shorts,Clothing,Winter,4.9,1
61,Male,Coat,Outerwear,Winter,4.5,0
65,Male,Dress,Clothing,Spring,4.7,0
64,Male,Coat,Outerwear,Winter,4.7,0
64,Male,Skirt,Clothing,Winter,2.8,0
25,Male,Sunglasses,Accessories,Spring,4.1,1
53,Male,Dress,Clothing,Winter,4.7,3
52,Male,Sweater,Clothing,Summer,4.6,3
66,Male,Pants,Clothing,Summer,3.3,0
21,Male,Pants,Clothing,Winter,2.8,1
31,Male,Pants,Clothing,Winter,4.1,1
56,Male,Pants,Clothing,Summer,3.2,3
31,Male,Pants,Clothing,Winter,4.4,1
18,Male,Jacket,Outerwear,Fall,2.9,1
18,Male,Hoodie,Clothing,Summer,3.6,1
38,Male,Jewelry,Accessories,Spring,3.6,2
56,Male,Shorts,Clothing,Summer,5.0,3
54,Male,Handbag,Accessories,Fall,4.4,3
31,Male,Dress,Clothing,Fall,4.1,1
57,Male,Jewelry,Accessories,Winter,4.7,3
33,Male,Dress,Clothing,Winter,4.7,2
36,Male,Jacket,Outerwear,Summer,4.9,2
54,Male,Pants,Clothing,Summer,3.3,3
36,Male,T-shirt,Clothing,Spring,4.6,2
54,Male,Blouse,Clothing,Summer,4.0,3
35,Male,T-shirt,Clothing,Winter,4.6,2
35,Male,Jeans,Clothing,Summer,2.8,2
29,Male,Dress,Clothing,Winter,3.7,1
70,Male,Pants,Clothing,Summer,4.2,0
69,Male,Handbag,Accessories,Winter,4.6,0
67,Male,Scarf,Accessories,Spring,4.5,0
20,Male,Coat,Outerwear,Spring,4.1,1
25,Male,Scarf,Accessories,Fall,3.7,1
39,Male,Hat,Accessories,Summer,4.6,2
50,Male,Socks,Clothing,Fall,2.9,3
57,Male,Shirt,Clothing,Summer,2.9,3
55,Male,Jewelry,Accessories,Winter,4.5,3
42,Male,Shirt,Clothing,Summer,2.7,2
68,Male,Hoodie,Clothing,Spring,4.6,0
49,Male,Blouse,Clothing,Spring,3.7,3
59,Male,Skirt,Clothing,Winter,4.7,0
42,Male,T-shirt,Clothing,Summer,2.6,2
29,Male,Skirt,Clothing,Winter,3.9,1
47,Male,Coat,Outerwear,Summer,4.2,3
40,Male,Jacket,Outerwear,Winter,3.0,2
41,Male,Backpack,Accessories,Summer,4.7,2
21,Male,Coat,Outerwear,Summer,4.4,1
69,Male,Hoodie,Clothing,Summer,4.2,0
63,Male,Belt,Accessories,Spring,4.6,0
50,Male,Sweater,Clothing,Summer,4.0,3
55,Male,Scarf,Accessories,Winter,4.7,3
30,Male,Sneakers,Footwear,Spring,3.8,1
33,Male,Sunglasses,Accessories,Winter,2.7,2
65,Male,Boots,Footwear,Fall,4.8,0
65,Male,Backpack,Accessories,Spring,4.8,0
31,Male,Blouse,Clothing,Winter,4.7,1
45,Male,Coat,Outerwear,Winter,4.4,3
57,Male,Handbag,Accessories,Summer,3.9,3
48,Male,Belt,Accessories,Summer,4.4,3
22,Male,Belt,Accessories,Fall,4.2,1
36,Male,Dress,Clothing,Summer,2.9,2
18,Male,Dress,Clothing,Winter,2.9,1
48,Male,Pants,Clothing,Spring,2.7,3
49,Male,Gloves,Accessories,Spring,4.5,3
64,Male,Scarf,Accessories,Summer,2.7,0
50,Male,Hat,Accessories,Summer,4.2,3
22,Male,Dress,Clothing,Summer,3.3,1
50,Male,Skirt,Clothing,Spring,4.7,3
38,Male,Jacket,Outerwear,Winter,2.6,2
19,Male,Sandals,Footwear,Summer,3.3,1
67,Male,Shoes,Footwear,Summer,2.6,0
19,Male,Pants,Clothing,Spring,4.0,1
36,Male,Dress,Clothing,Summer,4.1,2
52,Male,Coat,Outerwear,Spring,4.4,3
53,Male,Sunglasses,Accessories,Winter,4.5,3
24,Male,Hoodie,Clothing,Spring,3.7,1
52,Male,Shoes,Footwear,Fall,3.7,3
33,Male,T-shirt,Clothing,Fall,3.5,2
47,Male,Jacket,Outerwear,Fall,3.6,3
25,Male,Hat,Accessories,Summer,2.9,1
44,Male,Scarf,Accessories,Winter,4.6,2
61,Male,Jacket,Outerwear,Winter,4.4,0
37,Male,Sweater,Clothing,Fall,4.5,2
58,Male,Skirt,Clothing,Spring,4.6,0
37,Male,Sneakers,Footwear,Fall,3.8,2
32,Male,Gloves,Accessories,Spring,3.6,2
21,Male,Shoes,Footwear,Winter,4.8,1
20,Male,Jeans,Clothing,Spring,2.6,1
26,Male,Hoodie,Clothing,Summer,3.7,1
62,Male,Sunglasses,Accessories,Fall,2.7,0
27,Male,Coat,Outerwear,Spring,4.6,1
51,Male,Socks,Clothing,Winter,4.8,3
54,Male,Boots,Footwear,Winter,4.0,3
55,Male,Sunglasses,Accessories,Spring,4.4,3
69,Male,Backpack,Accessories,Fall,3.6,0
64,Male,Jacket,Outerwear,Summer,3.7,0
28,Male,Sneakers,Footwear,Winter,3.1,1
70,Male,Socks,Clothing,Spring,3.4,0
58,Male,T-shirt,Clothing,Spring,2.6,0
56,Male,Backpack,Accessories,Summer,4.0,3
26,Male,Belt,Accessories,Summer,5.0,1
37,Male,Gloves,Accessories,Spring,4.3,2
44,Male,Hat,Accessories,Winter,3.1,2
70,Male,Coat,Outerwear,Summer,3.7,0
53,Male,Skirt,Clothing,Spring,3.8,3
55,Male,Shoes,Footwear,Spring,3.4,3
50,Male,Sandals,Footwear,Summer,4.6,3
50,Male,Sweater,Clothing,Fall,4.8,3
38,Male,Coat,Outerwear,Fall,4.3,2
64,Male,Hat,Accessories,Summer,4.0,0
19,Male,Shorts,Clothing,Winter,4.2,1
40,Male,Backpack,Accessories,Spring,4.8,2
57,Male,Sweater,Clothing,Fall,3.1,3
44,Male,Sweater,Clothing,Spring,3.1,2
49,Male,Shorts,Clothing,Winter,3.6,3
43,Male,Shorts,Clothing,Spring,3.9,2
24,Male,Sweater,Clothing,Winter,4.8,1
20,Male,Scarf,Accessories,Spring,4.7,1
24,Male,Dress,Clothing,Summer,4.2,1
44,Male,Scarf,Accessories,Fall,3.7,2
28,Male,Skirt,Clothing,Summer,3.9,1
30,Male,Backpack,Accessories,Fall,4.7,1
52,Male,Sweater,Clothing,Winter,2.5,3
43,Male,Hat,Accessories,Fall,4.9,2
43,Male,Sandals,Footwear,Fall,4.1,2
39,Male,Blouse,Clothing,Winter,3.3,2
68,Male,Sneakers,Footwear,Spring,4.7,0
68,Male,Skirt,Clothing,Winter,4.4,0
49,Male,Coat,Outerwear,Fall,3.8,3
63,Male,Shirt,Clothing,Fall,3.9,0
56,Male,Gloves,Accessories,Fall,4.9,3
37,Male,Jacket,Outerwear,Fall,3.1,2
30,Male,Coat,Outerwear,Fall,2.7,1
19,Male,Shoes,Footwear,Fall,3.2,1
24,Male,Jewelry,Accessories,Fall,4.5,1
52,Male,Skirt,Clothing,Fall,4.0,3
63,Male,Shoes,Footwear,Summer,3.5,0
37,Male,Gloves,Accessories,Fall,2.6,2
38,Male,Pants,Clothing,Summer,3.2,2
35,Male,Boots,Footwear,Fall,4.9,2
28,Male,Sunglasses,Accessories,Fall,4.5,1
30,Male,Shirt,Clothing,Summer,4.3,1
69,Male,Hoodie,Clothing,Winter,3.2,0
41,Male,Dress,Clothing,Fall,3.6,2
63,Male,Socks,Clothing,Spring,4.3,0
35,Male,Shorts,Clothing,Fall,4.0,2
36,Male,Hat,Accessories,Fall,3.0,2
25,Male,Shirt,Clothing,Fall,4.1,1
58,Male,Gloves,Accessories,Fall,3.8,0
27,Male,Gloves,Accessories,Summer,4.6,1
65,Male,Backpack,Accessories,Fall,3.0,0
54,Male,Sunglasses,Accessories,Summer,3.0,3
54,Male,Skirt,Clothing,Summer,3.4,3
59,Male,Handbag,Accessories,Spring,2.6,0
42,Male,Handbag,Accessories,Winter,2.8,2
46,Male,Sneakers,Footwear,Fall,4.0,3
33,Male,Gloves,Accessories,Fall,4.0,2
34,Male,Shoes,Footwear,Summer,3.0,2
27,Male,Jacket,Outerwear,Summer,3.3,1
52,Male,Shirt,Clothing,Fall,2.6,3
29,Male,Shorts,Clothing,Summer,3.6,1
54,Male,Jewelry,Accessories,Summer,3.9,3
25,Male,Hat,Accessories,Fall,3.4,1
41,Male,Shoes,Footwear,Winter,3.5,2
53,Male,Coat,Outerwear,Fall,2.8,3
53,Male,Backpack,Accessories,Spring,2.7,3
21,Male,Hoodie,Clothing,Fall,3.7,1
61,Male,Skirt,Clothing,Fall,4.3,0
64,Male,Boots,Footwear,Fall,4.9,0
51,Male,Sandals,Footwear,Fall,3.3,3
32,Male,Pants,Clothing,Summer,4.7,2
